[31, 1, 200, 3242, 105469, 3138014, 96753075]
[37, 1, 114, 1945, 72930, 2633078, 97291933]
[41, 1, 77, 1400, 59536, 2387379, 97551608]
[43, 1, 86, 1163, 53925, 2275508, 97669318]
[47, 1, 46, 947, 45757, 2092873, 97860377]
[53, 1, 33, 642, 35527, 1854147, 98109651]
[59, 1, 33, 497, 29061, 1671764, 98298645]
[61, 1, 22, 411, 26977, 1615485, 98357105]
[67, 1, 13, 337, 22234, 1468844, 98508572]
[71, 1, 10, 285, 19931, 1393910, 98585864]
[73, 1, 14, 240, 18922, 1351844, 98628980]
[79, 1, 10, 193, 15968, 1251664, 98732165]
[83, 1, 8, 180, 14559, 1192040, 98793213]
[89, 1, 3, 130, 12652, 1113410, 98873805]
[97, 1, 3, 109, 10708, 1020542, 98968638]
[101, 1, 0, 73, 9661, 982460, 99007806]
[103, 1, 0, 91, 9335, 962630, 99027944]
[107, 1, 5, 75, 8750, 926587, 99064583]
[109, 1, 2, 77, 8534, 909050, 99082337]
[113, 1, 3, 65, 7983, 876839, 99115110]
[127, 1, 2, 55, 6187, 783082, 99210674]
[131, 1, 0, 46, 5768, 757682, 99236504]
[137, 1, 2, 48, 5372, 725524, 99269054]
[139, 1, 1, 40, 5247, 714548, 99280164]
[149, 1, 1, 26, 4468, 666169, 99329336]
